orf,chr,gene,geneflag,WtMean,MutMean,WtMean2,MutMean2,fold.mut.by.wt,p,p.paired,sd.ratio
orf19.6985,Chr3,TEA1,1,693.25,933.96,790.13,619.96,0.78,0.39,0.24,0.41
orf19.1785,Chr2,,1,3096.03,7146.5,4331.35,5231.49,1.21,0.7,0.11,0.37
orf19.1172,Chr1,PHO84,1,7923.54,24190.11,11369.13,18089.38,1.59,0.65,0.14,0.95
orf19.2611,ChrR,MCM6,1,1093.81,1463.96,1236.11,871.95,0.71,0.23,0.04,0.28
orf19.3358,Chr1,LSC1,1,4103.01,9558.66,5099.32,5883.47,1.15,0.53,0.42,0.42
orf19.6264.4,Chr1,,1,775.7,1197.43,894.28,795.72,0.89,0.36,0.48,0.35
orf19.4371,ChrR,TAL1,1,5313.18,13964.88,6684.28,8937.93,1.34,0.07,0.03,0.29
orf19.3471,Chr2,,1,216.39,331.67,183.23,213.69,1.14,0.48,0.5,12.91
orf19.3445,Chr6,HOC1/YJR75,1,675.79,1538.32,762.11,973.61,1.28,0.09,0.16,0.5
orf19.6340,Chr1,RBP5,1,1069.65,2450.84,1265.47,1509.27,1.19,0.86,0.63,0.43
orf19.4297,Chr5,CKB22,1,789.91,863.59,912.99,584.12,0.64,0.02,0.05,0.33
orf19.5041,Chr4,,1,321.37,415.53,316.09,262.62,0.82,0.59,0.58,6.35
orf19.3204,Chr5,,1,382.82,624.71,406.98,423.7,1.03,0.49,0.45,5.12
orf19.6680,Chr5,FGR27,1,526.12,656.27,572.4,463.03,0.81,0.27,0.27,0.34
orf19.7391,Chr3,OCH1,1,1590.81,2437.67,1845.32,1463.41,0.79,0.41,0.09,0.26
orf19.279,Chr3,DTD1,1,1137.57,2335.39,1458.5,1537.21,1.05,0.85,0.67,1.46
orf19.4737,Chr1,TPO3/DHA12/YGR138/YPR156,1,3186.28,3570.12,3806.66,2418.11,0.64,0.39,0.11,0.47
orf19.1837,Chr1,SPT15/TBP1,1,2392.8,5198.29,3016.08,3224.03,1.07,0.89,0.72,0.37
orf19.5772,Chr6,,1,475.13,884.72,509.06,573.08,1.13,0.38,0.39,0.39
orf19.2183,Chr2,KRE30,1,2566.21,4594.82,2979.58,2738.98,0.92,0.77,0.48,0.25
orf19.133,Chr6,,1,229.61,287.86,202.46,184.87,0.89,0.54,0.57,7.98
orf19.6612,Chr2,,1,1023.85,2429.78,1186.43,1480.58,1.25,0.74,0.45,0.4
orf19.6453,Chr7,,1,507.73,888.51,556.52,575.29,1.03,0.75,0.8,0.62
orf19.6747,Chr3,,1,1209.94,3477.04,1539.88,2439.91,1.58,0.23,0.02,0.46
orf19.2622,ChrR,YPT31,1,1658.02,4068.79,1967.27,2584.25,1.31,0.77,0.1,0.29
orf19.4959,Chr1,,1,1807.78,2373.16,2188.88,1542.03,0.7,0.07,0.04,0.2
orf19.1883,Chr2,YCS4,1,675.92,1016.96,751.44,620.57,0.83,0.69,0.35,0.47
orf19.5164,Chr7,ECM39,1,659.9,1144.84,737.99,688.9,0.93,0.67,0.34,0.36
orf19.1871,Chr2,SWR1,1,550.39,713.25,588.47,418.65,0.71,0.33,0.1,0.35
orf19.3359,Chr1,ARP8,1,549.83,914.22,587.97,554.95,0.94,0.99,0.99,0.56
orf19.1859,Chr?,,1,255.09,278.28,257.1,185.4,0.69,0.6,0.61,3.98
orf19.7464,ChrR,,1,204.82,270.26,173.59,177.8,0.96,0.29,0.31,4.89
orf19.2810,Chr3,AAP1,1,215.95,359.42,183.46,226.67,1.18,0.34,0.36,4.43
orf19.7217,Chr1,RPL4,1,26836.07,48169.8,33956.64,31753.94,0.94,0.53,0.61,0.4
orf19.3568,Chr2,,1,781.03,1049.37,912.02,694.35,0.76,0.89,0.79,0.96
orf19.2948,Chr1,SNO1,1,956.27,1273.91,1094.19,797.63,0.73,0.34,0.04,0.2
orf19.1440,Chr4,,1,486.64,991.36,541.56,677.45,1.25,0.46,0.33,1.24
orf19.7571,ChrR,UBC4,1,2649.6,6521.12,3420.09,4461.61,1.3,0.11,0.11,0.44
orf19.4531,Chr1,,1,652.65,1282.9,767.07,823.8,1.07,0.97,0.95,0.71
orf19.780,Chr1,DUR1,1,369.4,593.89,371.64,363.42,0.98,0.88,0.88,0.81
orf19.6686,Chr7,ENP2,1,1704.67,2902.68,2108.4,1872.23,0.89,0.85,0.52,0.36
orf19.4750,Chr1,,1,268.87,427.09,251.84,276.02,1.1,0.39,0.41,409.59
orf19.2180,Chr2,,1,507.56,964.42,544.34,657.19,1.21,0.44,0.38,1.09
orf19.4826,Chr1,IDH1,1,7664.62,20800.27,9758.84,12978.91,1.33,0.66,0.31,0.47
orf19.7012,Chr7,LPA4,1,895.69,3442.95,1058.66,2149.82,2.03,0.19,0.02,1.03
orf19.991,Chr1,DJP1,1,1924.61,3704.4,2351.03,2466.54,1.05,0.76,0.73,0.31
orf19.933,Chr5,UBC14,1,2027.66,3797.14,2671.92,2801.56,1.05,0.95,0.91,0.48
orf19.1464,Chr2,IFQ4,1,1782.82,2901.89,2143.73,1876,0.88,0.3,0.31,0.31
orf19.2658,Chr2,TIM2,1,607.95,1176.61,751.52,774.23,1.03,0.68,0.58,1.18
orf19.1109,Chr5,,1,634.44,948.74,721.63,623.09,0.86,0.49,0.6,0.35
orf19.3215,Chr5,,1,380.7,680.3,386.83,465.91,1.2,0.52,0.6,0.91
orf19.1958,Chr5,,1,190.02,205.17,149.76,129.18,0.77,0.59,0.61,1.98
orf19.686,Chr1,,1,402.87,723.79,411.23,441.88,1.07,0.61,0.61,1.18
orf19.2101,Chr2,SWF3,1,697.14,1434.18,826.32,895.88,1.08,0.49,0.34,0.36
orf19.3601,Chr2,,1,486.49,797.52,545.19,527.8,0.97,0.89,0.85,0.75
orf19.5880,Chr3,GEF1,1,382.96,586.95,387.96,374.25,0.96,0.86,0.86,0.71
orf19.1531,Chr2,RNA14,1,430.61,710.08,444.35,428.63,0.96,0.86,0.86,0.59
orf19.461,Chr1,MHP1,1,339.45,566.78,359.43,414.33,1.15,0.49,0.46,1.89
orf19.149,Chr2,,1,267.15,356.21,254.08,226.6,0.89,0.71,0.75,8.41
orf19.7056,Chr7,DIP53,1,234.92,334.86,209.76,221.29,1.04,0.33,0.36,10.83
orf19.7104,Chr7,,1,769.81,2523.42,940.62,1686.55,1.79,0.03,0.03,1.44
orf19.7272,Chr1,,1,348.66,522.86,354.45,334.59,0.94,0.91,0.93,1.19
orf19.406,Chr1,ERG1,1,906.04,1738.7,1077.91,1153.54,1.07,0.87,0.6,0.28
orf19.7225,Chr1,,1,353.44,696.94,375.75,463.72,1.23,0.41,0.41,49.64
orf19.1578,Chr2,RRP5,1,964.58,1892.41,1107.8,1199.75,1.08,0.86,0.64,0.89
orf19.6970,Chr3,,1,275.22,434.64,255.42,275.72,1.06,0.45,0.45,3.45
orf19.5085,Chr1,PSE1,1,893.91,1915.32,1004.39,1166.14,1.16,0.67,0.5,0.5
orf19.7331,ChrR,FCY24,1,274.01,469.63,269.59,317,1.18,0.32,0.33,18.02
orf19.7069,Chr7,,1,529.58,1769.17,584.4,1051.75,1.8,0.11,0.09,1.81
orf19.6801,Chr3,RPD2,1,1483.11,2268.76,1746.17,1464.54,0.84,0.38,0.29,0.26
orf19.1515,Chr2,CHT4,1,251.02,340.34,240.04,220.96,0.9,0.42,0.44,5.21
orf19.5147,Chr7,,1,694.21,1034.63,756.79,634.44,0.84,0.37,0.22,0.23
orf19.4334,Chr5,PGA58,1,717.63,1138.35,863.75,748.93,0.87,0.82,0.73,0.62
orf19.4193,Chr6,RPS13,1,14878.31,34902.99,18256.15,21511.83,1.18,0.66,0.24,0.27
orf19.1296,Chr?,PRP31,1,290.41,482.36,275.13,303.73,1.1,0.44,0.42,7.91
orf19.4970,Chr1,,1,191.99,282.49,155.25,180.22,1.04,0.26,0.3,2.77
orf19.3764,Chr1,GSG1,1,386.6,626.2,387.02,379.7,0.98,0.95,0.96,0.9
orf19.7051,Chr7,,1,331.66,763.24,329.02,470.23,1.43,0.13,0.22,1.72
orf19.964,Chr5,SMC4,1,997.84,1182.89,1116,728.09,0.65,0.26,0.01,0.17
orf19.7389,Chr3,REV4/REV3.5F,1,698.26,1187.73,811.02,758.51,0.94,0.71,0.75,0.44
orf19.3070.1,Chr3,FOX3,1,1178.5,1526.94,1460.42,985.83,0.68,0.78,0.64,1.29
orf19.3818,Chr4,,1,600.2,1482.3,644.39,914.39,1.42,0.12,0.1,1.01
orf19.5491.1,Chr2,,1,240.77,350.59,221.36,227.26,0.96,0.49,0.48,2.21
orf19.5995,Chr3,MCA1,1,1917.4,4558.18,2276.34,2788.82,1.23,0.22,0.12,0.32
orf19.4532,Chr1,,1,1318.76,3858.96,1595.94,2407.49,1.51,0.18,0.04,0.55
orf19.2107.1,Chr2,MUQ1/STF2,1,1085.98,2780.07,1317.69,1743.2,1.32,0.08,0.09,0.49
orf19.1451,Chr2,SRB9(SSN2),1,519.68,830.38,572.99,523.88,0.91,0.7,0.77,0.53
orf19.1465,Chr2,,1,365.34,801.57,378.23,515.3,1.36,0.43,0.31,2.66
orf19.7611,ChrR,TRX1,1,26028.65,46745.56,34491.08,32441.27,0.94,0.96,0.93,0.45
orf19.4882,Chr1,TFA2,1,789.72,1701.52,965.31,1132.62,1.17,0.53,0.25,1.01
orf19.671,Chr1,,1,632.34,1123.82,756.61,791.83,1.05,0.8,0.6,0.44
orf19.4432,Chr1,KSP1,1,1437.91,2846,1874.54,2007.17,1.07,0.86,0.63,1.31
orf19.513,ChrR,NDT802,1,334.89,533.92,347.64,372.24,1.07,0.47,0.45,94.04
orf19.3197,Chr5,PAPa(PAP1)/PAP1,1,1039.57,659.33,1190.09,438.51,0.37,0,0,0.15
orf19.7156,Chr7,FAA23,1,3245.24,5346.75,3968.96,3300.01,0.83,0.22,0.16,0.32
orf19.5213.2,Chr2,PCF11/COX9,1,386.95,493.21,389.99,314.45,0.81,0.79,0.79,0.91
orf19.5970,Chr3,HPR5,1,767.94,1329.7,894.98,822.89,0.92,0.53,0.6,0.56
orf19.2457,Chr1,,1,219.97,262.52,197.33,169.29,0.8,0.33,0.36,2.95
orf19.2334,Chr1,BIG1,1,1613.87,3276.06,2142.45,2345.01,1.09,0.84,0.41,0.64
orf19.395,Chr1,ENO1,1,50543.52,59984.66,64963.01,41894.74,0.64,0.01,0.03,0.23
orf19.5976,Chr3,,1,816.93,1389.99,939.86,882.65,0.94,0.99,0.98,0.94
orf19.2694,Chr4,TYS1,1,3051.93,7426.75,3722.31,4306.01,1.16,0.61,0.55,0.42
orf19.1260,Chr4,LEA1,1,634.76,1625.53,720.69,978.69,1.36,0.28,0.16,0.72
orf19.3486,ChrR,,1,357.37,572.01,375.4,387.6,1.03,0.63,0.66,1.93
orf19.490,ChrR,NAT5,1,1756.19,4862.63,2339.6,3315.85,1.42,0.37,0.06,0.74
orf19.6418,ChrR,,1,1966.86,3776.41,2396.25,2272.24,0.95,0.56,0.61,0.44
orf19.2623,ChrR,,1,358.02,621.66,371.66,411.66,1.11,0.52,0.49,1.66
orf19.5843,ChrR,,1,418.58,674.5,432.28,415.93,0.96,0.97,0.96,0.56
orf19.3897,Chr5,,1,268.08,415.46,251.64,270.19,1.07,0.47,0.5,4.39
orf19.606,Chr5,,1,509.38,919.74,599.49,645.13,1.08,0.6,0.56,0.89
orf19.2362,Chr6,,1,416.32,806.28,446.65,538.37,1.19,0.49,0.4,2.71
orf19.3811,Chr4,GYP1,1,379.14,938.21,387.77,634.42,1.64,0.24,0.14,1.72
orf19.1620,Chr3,,1,184.88,241.12,145.67,149.22,0.91,0.55,0.57,2.24
orf19.3733,ChrR,IDP2,1,3326.64,8725.01,4283.21,5598.27,1.31,0.43,0.26,0.51
orf19.6868,Chr2,GRP5,1,766.68,2187.6,925.98,1522.98,1.64,0.4,0.09,1.06
orf19.1547,Chr2,TPP1,1,396.74,726.67,417.02,446.32,1.07,0.55,0.49,9.35
orf19.1041,Chr1,CTK2,1,596.94,1042.65,646.25,645.36,1,0.81,0.69,0.93
orf19.3801,Chr4,,1,306.83,548.94,302.07,363.1,1.2,0.35,0.43,2.36
orf19.2347,Chr1,MNN21/MNN2/MNN5,1,666.32,1097.44,733.69,678.97,0.93,0.74,0.66,0.39
orf19.5842,Chr2,MET1b,1,468.49,808.85,481.88,473.21,0.97,0.54,0.49,3.52
orf19.1112,Chr5,BUD7,1,472.45,727.28,497,484.18,0.97,0.9,0.9,0.58
orf19.692,Chr1,PEX20,1,324.44,639.86,346.78,454.13,1.31,0.27,0.26,6.32
orf19.2060,Chr2,SOD5/PGA3,1,322.67,466.52,319.53,318.22,0.97,0.51,0.49,2.15
orf19.928,Chr5,,1,312.4,373.02,304.41,245.49,0.79,0.6,0.59,2.63
orf19.4275,Chr5,RAD9,1,194.36,233.34,156.07,147.8,0.87,0.32,0.35,3.31
orf19.1575,Chr2,PRS1,1,1939.72,4597.22,2391.97,2926.65,1.22,0.09,0.06,0.23
orf19.3052,Chr1,YPT1,1,3996.23,9913.59,5499.67,6964.95,1.27,0.53,0.08,0.52
orf19.6308,ChrR,,1,726.14,1366.08,846.7,895.49,1.06,0.63,0.5,17.21
orf19.3399,Chr6,VPS72,1,959.75,1359.47,1077.41,799.97,0.74,0.68,0.52,0.85
orf19.1042,Chr1,POR1(OMP2),1,17147.24,38279.96,22115.45,25382.67,1.15,0.68,0.07,0.22
orf19.1121,Chr5,,1,1982.77,3315.88,2510.84,2330.44,0.93,0.88,0.66,0.53
orf19.6654,Chr5,,1,1155.93,1614.79,1402.76,1135.53,0.81,0.5,0.24,0.39
orf19.218,Chr2,BUD20,1,193.23,291.76,153.77,182.93,1.11,0.26,0.3,20.09
orf19.1240,Chr4,,1,781.78,2081.47,894.52,1237.32,1.38,0.53,0.15,0.48
orf19.4846,Chr1,,1,361.25,591.11,358.27,364.46,1.02,0.83,0.82,0.79
orf19.2229,Chr2,,1,323.96,736.58,318.83,475.23,1.49,0.31,0.32,4.34
orf19.5216,Chr2,TES2,1,275.03,427.2,275.56,292.03,1.06,0.36,0.38,6.93
orf19.3150,Chr2,GRE2/GRP4,1,1092.96,2550.08,1328.3,1584.95,1.19,0.69,0.31,0.93
orf19.7419,Chr3,HNT2,1,554.41,1024.12,624.13,669.89,1.07,0.59,0.61,0.72
orf19.157,Chr2,,1,821.09,1824.13,952.03,1169.29,1.23,0.22,0.4,0.44
orf19.6964,Chr4,MRS107,1,1567.26,3023.37,2027.48,1849.69,0.91,0.84,0.88,0.46
orf19.1570,Chr2,ERG7,1,1259.91,2473.38,1506.18,1615.84,1.07,0.74,0.46,0.23
orf19.1130,Chr1,,1,679.54,1347.32,752.73,838.66,1.11,0.77,0.73,0.49
orf19.6009,Chr1,SET1,1,467.71,688.57,484.57,414.89,0.86,0.7,0.64,0.84
orf19.5823,Chr2,SGT2,1,855.44,2141.53,1013.62,1322.16,1.3,0.11,0.08,0.53
orf19.6744,Chr3,,1,351.46,533.06,356.44,338.32,0.95,0.82,0.84,1.39
orf19.4911,Chr1,,1,317.97,421.54,314.29,269.23,0.86,0.98,0.98,1.36
orf19.6269,Chr1,,1,265.39,385.41,247.64,248.04,1,0.42,0.43,60.3
orf19.273,Chr3,,1,1719.1,3296.21,2126.39,2143.49,1.01,0.87,0.61,0.65
orf19.5536,Chr6,AMD3,1,342.85,723.41,336.63,448.79,1.33,0.5,0.47,6.12
orf19.3921,Chr5,FSH3,1,648.56,1082.94,761.5,703.87,0.92,0.83,0.86,0.53
orf19.551,ChrR,PSR1,1,922.3,1436.71,1036.5,880.7,0.85,0.23,0.03,0.11
orf19.3575,Chr2,CDC19/PYK1,1,23430.51,46945.52,29043.41,31393.25,1.08,0.73,0.78,0.45
orf19.816,Chr2,YLR422W-2,1,605.97,975.38,685.29,647.99,0.95,0.73,0.78,0.49
orf19.4785,Chr1,PTC1,1,1036.52,2283.38,1302.86,1600.93,1.23,0.43,0.2,0.56
orf19.2639.1,Chr5,MRPL20,1,737.8,1244.24,827.81,811.27,0.98,0.88,0.82,1.51
orf19.5640,Chr4,PEX5,1,911.24,1974.72,1064.93,1285.93,1.21,0.67,0.47,1.09
orf19.7354,Chr3,LAC2,1,526.42,787.51,554.56,471.01,0.85,0.41,0.3,0.35
orf19.1461,Chr2,,1,799.07,1880.28,902.54,1218.03,1.35,0.22,0.08,0.63
orf19.3740,ChrR,PGA23,1,882.31,2451.84,1001.33,1496.83,1.49,0.2,0.13,0.74
orf19.4476,Chr1,IFD6,1,2190.25,10340.31,2676.26,6111.74,2.28,0.13,0.11,1.45
orf19.906,Chr2,ROM2,1,1064.46,1822.71,1243.1,1148.19,0.92,0.81,0.3,0.23
orf19.3705,ChrR,,1,665.83,1164.22,798.34,791.35,0.99,0.9,0.87,0.62
orf19.1187,Chr6,CPH2,1,837.64,1581.98,969.09,1025.87,1.06,0.36,0.23,0.41
orf19.105,Chr6,MET22,1,874.05,1798.61,1091.47,1208.92,1.11,0.79,0.44,0.61
orf19.3259,Chr2,SEC11,1,688.93,1326.53,789.56,861.1,1.09,0.54,0.27,0.27
orf19.4769,Chr1,IPT1,1,535.83,911.23,578.38,553.73,0.95,0.53,0.47,10.47
orf19.2924,Chr4,NUM12,1,1769.07,4472.48,2117.96,2765.24,1.31,0.61,0.19,0.47
orf19.2974,Chr1,YKT6,1,619.69,1185.38,715.56,808.45,1.13,0.53,0.36,0.36
orf19.1843,Chr1,ALG6,1,373.72,628.35,391.13,412.55,1.05,0.67,0.68,1.69
orf19.832,Chr2,GPI13,1,557.11,845.22,589.15,510.38,0.87,0.51,0.33,0.36
orf19.7072,Chr7,PGS1/PEL1,1,688.74,1432.87,826.21,956.09,1.16,0.66,0.58,0.78
orf19.5917,Chr3,YRA1,1,2131.86,4305.05,2617.85,2814.95,1.08,0.91,0.6,0.23
orf19.7384,Chr3,NOG1,1,2642.33,5722.72,3260.59,3566.58,1.09,0.83,0.38,0.32
orf19.723,Chr1,USV1/BCR1,1,227.79,323.95,194.68,203.83,1.04,0.38,0.42,9.4
orf19.2000,Chr2,CHL1,1,268.42,429.97,247.07,261.34,1.06,0.49,0.54,2.25
orf19.1050,Chr1,,1,274.97,434.69,260.54,277.23,1.05,0.42,0.42,4.96
orf19.2440,Chr1,CUL4,1,384.69,612.02,389.14,365.5,0.94,0.64,0.59,7.51
orf19.1535,Chr2,,1,627.33,1301.4,730.82,925.25,1.27,0.41,0.28,0.52
orf19.2762,Chr4,AHP1,1,21287.71,35920.12,25843.71,21244.55,0.82,0.83,0.73,0.68
orf19.230,Chr3,,1,354.83,556.81,376.67,368.98,0.98,0.76,0.69,2.23
orf19.6321,Chr6,PGA48/SPI1,1,1301.93,2862.84,1772.02,2112.38,1.19,0.46,0.15,0.53
orf19.6958,Chr3,ECM18,1,307.74,522.12,307.23,353.39,1.15,0.41,0.4,74.36
orf19.1219,Chr6,,1,247.93,352.64,228.33,224.47,0.98,0.39,0.41,36.45
orf19.2202,Chr2,PGM,1,308.47,522.06,304.48,334.99,1.1,0.41,0.42,48.07
orf19.5118,Chr1,SDS24,1,868.97,1532.21,1069.25,1039.75,0.97,0.92,0.88,0.52
orf19.3247,Chr2,YJL207,1,1138.74,1708.87,1358.38,1088.35,0.8,0.62,0.02,0.14
orf19.5365,Chr4,,1,520.95,822.42,566.9,511.36,0.9,0.94,0.93,1.26
orf19.7178,Chr7,PRE5,1,1605.29,4966.15,2002.72,3008.44,1.5,0.05,0.02,0.37
orf19.1723,Chr3,,1,819.19,2265.34,948.24,1502.49,1.58,0.05,0.13,0.49
orf19.2712,Chr4,HCA4,1,720.39,1055.44,835.8,620.57,0.74,0.38,0.24,0.5
orf19.6328,Chr6,ACN9,1,382.49,770.49,407.25,472.42,1.16,0.43,0.54,1.6
orf19.3121,Chr4,URE3,1,240.31,372.94,217.27,234,1.07,0.34,0.38,26.67
orf19.544.1,ChrR,RPR2,1,303.3,539.47,296.76,357.49,1.2,0.38,0.37,2.85
orf19.6282,Chr5,,1,299.43,461.69,304.9,312.12,1.02,0.46,0.48,47.07
orf19.5416,Chr3,ESA1,1,1472,2488.71,1865.79,1587.97,0.85,0.97,0.91,0.58
orf19.7245,Chr1,,1,859,1626.65,1053.04,1126.07,1.07,0.88,0.74,0.97
orf19.2742,Chr4,,1,695.52,1833.08,858.59,1217.61,1.42,0.31,0.3,1.03
orf19.5351,Chr4,TIF11,1,4968.02,11317.02,6434.36,7330.37,1.14,0.19,0.19,0.26
orf19.1200,Chr6,,1,257.4,455.21,237.2,293.25,1.21,0.35,0.36,4.3
orf19.5832,Chr2,HPT1,1,2279.16,5261.21,2990.33,3443.52,1.15,0.53,0.3,0.4
orf19.7343,ChrR,PRP4,1,564.69,1040.53,602.13,639.1,1.06,0.94,0.88,0.39
orf19.1420,Chr4,,1,292.52,593.18,285.47,396.19,1.39,0.3,0.28,38.11
orf19.1833,Chr1,CBF5,1,4446.61,7579.67,5521.19,4717.57,0.85,0.25,0.21,0.21
orf19.6082,Chr1,GSF2,1,2120.67,3994.16,2513.12,2320.24,0.92,0.62,0.31,0.22
orf19.7296,ChrR,,1,1101.83,3011.82,1500.71,2328.69,1.55,0.34,0,0.34
orf19.829,Chr2,SCH9,1,476.41,641.55,521.72,402.62,0.77,0.42,0.35,0.42
orf19.3048,Chr1,,1,532.22,721.98,562.94,421.23,0.75,0.31,0.14,0.39
orf19.3478,Chr2,NIP7,1,1315.8,3675.55,1653.16,2244.15,1.36,0.47,0.27,0.81
orf19.439,Chr1,MHR1,1,717.67,1586.06,808.85,962.01,1.19,0.26,0.15,0.38
orf19.4160,Chr4,QRI7,1,741.92,1266.22,871.89,839.75,0.96,0.87,0.86,0.44
orf19.4610.1,Chr4,CPS2.5,1,357.41,591.55,350.9,367.87,1.05,0.66,0.62,0.83
orf19.7102,Chr7,,1,585.19,1438.32,650.25,861.56,1.32,0.47,0.32,0.81
orf19.6977,Chr3,GPI1,1,197.29,223.17,167.86,145.24,0.79,0.34,0.36,3.14
orf19.3504,Chr6,RPL23,1,20657.94,40196.33,27408.39,25485.5,0.93,0.98,0.97,0.62
orf19.7367,Chr3,UBP1,1,639.77,1097.07,708.38,660.61,0.93,0.58,0.52,0.37
orf19.6056,Chr1,,1,386.89,837.93,409.83,532.71,1.3,0.38,0.43,1.09
orf19.5633,Chr4,,1,491.84,734.89,528.31,494.72,0.94,0.79,0.77,0.45
orf19.4236,Chr5,RET2,1,859.39,1233.91,966.65,769.63,0.8,0.57,0.22,0.37
orf19.2823,ChrR,RFG1,1,1881.91,2030.24,2282.05,1203.51,0.53,2.54E-008,5.35E-008,0.15
orf19.3483,Chr2,,1,895.59,1404.79,1119.51,939.44,0.84,0.71,0.41,0.29
orf19.4786,Chr1,FGR43,1,261.22,389.02,244.53,256.78,1.04,0.42,0.41,6.3
orf19.85,Chr6,GPX1/GPX2,1,831.06,1209.24,1013.85,836.98,0.83,0.39,0.21,0.28
orf19.2017,Chr2,RPA49,1,3194.71,8308.4,4076.31,5210.18,1.28,0.07,0.16,0.44
orf19.1492,Chr2,PRP39,1,389.66,600.47,402.33,361.83,0.9,0.83,0.84,0.79
orf19.5065,Chr1,ERD1,1,481.11,777.46,518.97,517.08,1,0.97,0.95,0.96
orf19.2194,Chr2,APM4,1,484.91,941.13,516.12,616.27,1.19,0.46,0.35,0.56
orf19.3986,Chr5,PPR1,1,292.86,424.03,278.74,277.4,1,0.68,0.68,2.11
orf19.6900,Chr7,MDM12,1,319.28,539,311.05,332.21,1.07,0.52,0.56,1.27
orf19.1717,Chr3,,1,424.97,665.46,433.48,427.87,0.99,0.73,0.67,2.23
orf19.3972,Chr5,GOT1,1,739.23,1002.68,835.42,653.78,0.78,0.7,0.42,0.52
orf19.7183,Chr7,,1,494.04,1127.52,576.14,830.03,1.44,0.48,0.36,0.91
orf19.4792,Chr1,,1,549.63,964.19,644.57,708.82,1.1,0.78,0.69,0.57
orf19.1355,Chr2,SOL1,1,1435.16,2445.15,1812.21,1735.69,0.96,0.74,0.67,0.31
orf19.5514,Chr6,,1,376.02,837.95,396.21,518.66,1.31,0.22,0.32,2.04
orf19.1301,Chr4,,1,233.26,325.84,211.25,211.08,1,0.49,0.51,687.05
orf19.6566,Chr7,,1,358.73,520.71,350.43,309.46,0.88,0.96,0.95,1.19
orf19.5051,Chr1,,1,304.15,392.46,282.56,242.75,0.86,0.55,0.54,161.27
orf19.6460,Chr7,PEX1,1,715.57,1087.43,822.78,655.58,0.8,0.19,0.27,0.4
orf19.3278,Chr2,GSY1,1,4162.76,10874.82,5335.88,7615.2,1.43,0.42,0.04,0.45
orf19.5358,Chr4,ORC2,1,1098.85,1887.68,1325.41,1189.82,0.9,0.8,0.66,0.36
orf19.6737,Chr3,,1,578.04,1124.32,629.24,672.62,1.07,0.82,0.79,0.52
orf19.6053,Chr1,ECM38/CIS2,1,623.44,1050.36,704.85,685.54,0.97,0.89,0.88,0.48
orf19.182,Chr2,PET56,1,1723.8,3531.26,2059.1,2118.87,1.03,0.92,0.74,0.38
orf19.1058,Chr1,,1,1143.33,2474.24,1414.94,1565.96,1.11,0.46,0.4,0.42
orf19.5249,Chr1,,1,556.24,1200.9,698.46,902.05,1.29,0.57,0.43,1.33
orf19.6716,Chr3,ABD1/CCM1,1,606.06,1263.57,703.8,840.95,1.19,0.37,0.31,0.52
orf19.5518,Chr6,,1,615.97,1533.72,650.63,871.3,1.34,0.49,0.39,28.51
orf19.1533,Chr2,,1,351.56,619.71,347.09,374.84,1.08,0.65,0.57,2.35
orf19.1275,Chr4,GAT1/GAT99,1,718.15,1257.78,814.2,779.75,0.96,0.81,0.81,0.43
orf19.199,Chr2,,1,813.91,1716.26,928.64,1089.55,1.17,0.74,0.46,0.41
orf19.7538,ChrR,PIF2,1,1736.61,2727.14,2132.27,1638.15,0.77,0.63,0.1,0.24
orf19.2337,Chr1,ALP1,1,3111.45,6019.81,3839.86,4116.86,1.07,0.78,0.64,0.35
orf19.2703,Chr4,,1,466.3,862.16,509.7,568.12,1.11,0.56,0.45,7.7
orf19.5220,Chr1,REX4,1,435.43,747.49,461.89,477.7,1.03,0.77,0.79,0.82
orf19.3529,Chr2,,1,203.77,251.38,167.18,161.45,0.92,0.3,0.33,6.52
orf19.2352,Chr1,,1,587.45,1195.98,637.83,710.24,1.11,0.73,0.62,0.68
orf19.6016,Chr1,GON1,1,1114.81,2088.75,1376.98,1402.25,1.02,0.97,0.84,0.3
orf19.1598,Chr3,ERG24,1,558.72,980.74,620.06,592.92,0.96,0.99,0.98,0.73
orf19.410.3,Chr1,ARH1,1,395.32,701.69,403.08,426.52,1.06,0.6,0.62,0.82
orf19.769,Chr1,YAL061/IFE1,1,242.05,349.99,220.56,227.06,1.02,0.36,0.37,17.62
orf19.1324,Chr4,RAD2,1,820.97,1189.21,890.28,717.76,0.81,0.72,0.34,0.47
orf19.6625,ChrR,,1,473.82,892.37,513.54,554.78,1.08,0.55,0.52,0.62
orf19.6596,Chr2,,1,2707.6,5715.75,3801.28,4293.67,1.13,0.66,0.14,0.28
orf19.6008,Chr3,,1,306.82,483.61,290.54,295.26,1.02,0.81,0.83,1.14
orf19.474,ChrR,,1,566.23,1550.73,615.35,968.09,1.57,0.02,0.05,0.87
orf19.7513,ChrR,ALK2,1,933.58,2982.3,1221.86,1892.82,1.55,0.15,0.24,1.7
orf19.6169.2,ChrR,,1,1129.53,2175.57,1410.62,1525.33,1.08,0.68,0.43,0.39
orf19.1685,Chr3,,1,254.17,311.91,243.05,200.1,0.81,0.46,0.49,6.73
orf19.6246,Chr1,NAT3,1,457.29,831.8,527.34,541.44,1.03,0.56,0.56,1.21
orf19.1082.1,Chr6,COX12,1,6479.87,15138.91,9034.54,9888.37,1.09,0.67,0.21,0.49
