"","orf","gene","A21_CHROMOSOME","WtMean2","MutMean2","fold.mut.by.wt","sd.ratio","p","p.paired","A21_START","A21_STOP","A21_STRAND","A19_CONTIG","A19_STRAND","A19_START","A19_STOP","CGH.Ratio","CGH.sd","weak"
"3876","orf19.3190","HAL9","Ca21chr5",144.0035256,2.372537257,0.022262445,0.053440085,0.000162661,0.001186295,415006,411974,"C","Contig19-10170","W",57249,60281,0.336777268,0.009364762,0
"3877","orf19.3188","TAC1","Ca21chr5",429.9128736,292.5281844,0.680947337,0.339486553,0.594521121,0.140232874,419375,416430,"C","Contig19-10170","W",52880,55825,0.574776935,0.055768581,0
"3878","orf19.3187","ZNC1","Ca21chr5",146.9044816,155.2496798,1.056806968,1.13522255,0.781346875,0.464072992,423724,420956,"C","Contig19-10170","W",48531,51299,0.510728228,0.022743753,0
"3880","orf19.3185","","Ca21chr5",1397.274545,1085.169579,0.776633041,0.472272471,0.339270014,0.352823741,424769,427117,"W","Contig19-10170","C",47486,45138,0.578218703,0.049979185,0
"3881","orf19.3184","","Ca21chr5",2020.008548,2065.865115,1.022701175,0.375506719,0.728544196,0.446076371,427872,427225,"C","Contig19-10170","W",44383,45030,0.594321227,0.023897591,0
"3882","orf19.3183","","Ca21chr5",359.1116525,250.773746,0.698316928,0.254806404,0.426007527,0.310980466,428137,428811,"W","Contig19-10170","C",44118,43444,0.660572801,0.05059916,0
"3883","orf19.3181.1","","Ca21chr5",1448.049864,691.3349492,0.477424822,0.185479175,0.002024649,0.008224945,429048,428884,"C","Contig19-10170","W",43207,43371,0.630455595,0.094185716,0
"3884","orf19.3182","GIS2","Ca21chr5",9326.245663,7540.752139,0.808551738,0.23665091,0.203387335,0.109500849,429623,430150,"W","Contig19-10170","C",42632,42105,0.648279963,0.153206315,0
"3885","orf19.3180","","Ca21chr5",160.339222,94.86924457,0.594179101,0.487155451,0.277024355,0.122476409,432245,430872,"C","Contig19-10170","W",40010,41383,0.591236408,0.065543323,0
"3886","orf19.3178","","Ca21chr5",168.834642,167.4462673,0.992771014,1.365065045,0.626290201,0.395863446,432444,433985,"W","Contig19-10170","C",39811,38270,0.604880027,0.051085942,0
"3887","orf19.3177","","Ca21chr5",1554.337661,1023.927556,0.658754903,0.316299302,0.077133719,0.094902696,434212,435981,"W","Contig19-10170","C",38043,36274,0.574064885,0.063620955,0
"3888","orf19.3176","RIM21","Ca21chr5",376.8232319,354.8645772,0.941726908,0.582539083,0.644560929,0.66235014,437588,435999,"C","Contig19-10170","W",34667,36256,0.540658939,0.048637133,0
"3889","orf19.3175","","Ca21chr5",2888.596657,2111.159806,0.730860019,0.190755885,0.245025125,0.017507224,440048,438165,"C","Contig19-10170","W",32207,34090,0.54472643,0.045306994,0
"3890","orf19.3174","CDC24","Ca21chr5",818.7660081,448.3765883,0.547624821,0.354475765,0.051516189,0.046899932,443366,440832,"C","Contig19-10170","W",28889,31423,0.562119052,0.026995289,0
"3891","orf19.3173","","Ca21chr5",1499.376282,1498.711552,0.999556663,0.394912358,0.933035263,0.76786171,445544,444864,"C","Contig19-10170","W",26711,27391,0.622686949,0.033552224,0
"3893","orf19.3171","ACH1","Ca21chr5",3627.265437,3738.867324,1.030767499,0.350899942,0.820949216,0.648172865,448569,446995,"C","Contig19-10170","W",23686,25260,0.563910409,0.024752168,0
"3894","orf19.3170","","Ca21chr5",392.85935,275.2604579,0.700659047,0.396973413,0.144956063,0.199167384,453568,451382,"C","Contig19-10170","W",18687,20873,0.572624424,0.051584086,0
"3895","orf19.3169","","Ca21chr5",1119.071149,1559.485031,1.393553065,0.460530115,0.859709138,0.642453889,454903,453845,"C","Contig19-10170","W",17352,18410,0.656853562,0.049540259,0
"3896","orf19.3168","RPN8","Ca21chr5",1937.993752,2252.272109,1.162166857,0.349324342,0.730567546,0.078319987,455238,456230,"W","Contig19-10170","C",17017,16025,0.616207478,0.060805946,0
"3897","orf19.3167","","Ca21chr5",1784.68941,1266.845854,0.709841078,0.397098416,0.521309377,0.157507443,456472,457857,"W","Contig19-10170","C",15783,14398,0.581129511,0.052759709,0
"3898","orf19.3166","","Ca21chr5",458.580444,250.8244087,0.546759648,6.923170862,0.964123452,0.930832029,458193,463202,"W","Contig19-10170","C",14062,9053,0.59403157,0.064579606,0
"3899","orf19.3163","","Ca21chr5",162.5618707,261.0403912,1.605791014,1.104117076,0.198629128,0.075861036,463418,464404,"W","Contig19-10170","C",8837,7851,0.663791688,0.062840309,0
"3900","orf19.3161","","Ca21chr5",1344.433938,1137.12439,0.845801611,0.295803381,0.509691132,0.126888663,465402,464440,"C","Contig19-10170","W",6829,7815,0.578687803,0.063322526,0
"3901","orf19.3159.4","","Ca21chr5",155.6206443,212.4672685,1.363052291,32.09327124,0.633603873,0.277969699,467497,467790,"W","Contig19-10170","C",4758,4465,0.364407612,0.016891743,0
"3903","orf19.4219","RIX7","Ca21chr5",651.6933669,384.4345844,0.589901024,0.506453415,0.594913557,0.177649539,476853,474370,"C","Contig19-10202","C",3476,993,0.629416523,0.115057674,0
"3904","orf19.4220","","Ca21chr5",323.7980319,621.6986114,1.920019735,0.595652085,0.037027827,0.082828853,477815,477264,"C","Contig19-10202","C",4438,3887,0.538547624,0.018210073,0
"3905","orf19.4221","ORC4","Ca21chr5",411.4099139,420.6442594,1.022445608,0.390130375,0.895223622,0.883911423,479720,478026,"C","Contig19-10202","C",6343,4649,0.582661207,0.060903268,0
"3907","orf19.4223","GCD11","Ca21chr5",7425.964516,5347.961739,0.720170656,0.259559045,0.08269968,0.098569331,483987,482383,"C","Contig19-10202","C",10610,9006,0.589151719,0.059721148,0
"3908","orf19.4225","LEU3","Ca21chr5",744.0242831,451.3663616,0.606655417,0.273923762,0.639932329,0.038412009,487140,484186,"C","Contig19-10202","C",13763,10809,0.632824802,0.072104215,0
"3909","orf19.4227","","Ca21chr5",355.3437423,370.2033821,1.04129052,8.845056045,0.787168142,0.338425736,488684,489778,"W","Contig19-10202","W",15307,16401,0.60095238,0.017199887,0
"3910","orf19.4228","","Ca21chr5",819.4501785,829.230134,1.011934777,0.231065333,0.929987146,0.767852477,489979,490962,"W","Contig19-10202","W",16602,17585,0.588156342,0.033356292,0
"3911","orf19.4229","","Ca21chr5",804.6794094,734.8924994,0.913273648,0.452052339,0.57624526,0.252105299,491689,491111,"C","Contig19-10202","C",18312,17734,0.603304535,0.072143312,0
"3912","orf19.4230","","Ca21chr5",642.6817782,801.2538163,1.246734922,0.596482838,0.834444976,0.71858383,492387,493223,"W","Contig19-10202","W",19010,19846,0.582490149,0.039581458,0
"3914","orf19.4232","PTH1","Ca21chr5",715.7713543,744.9432635,1.040755905,1.130217859,0.927296089,0.9409987,502899,501490,"C","Contig19-10202","C",29522,28113,0.645254486,0.059281198,0
"3915","orf19.4233","THR4","Ca21chr5",2692.789578,2079.522712,0.772255927,0.519463226,0.754024283,0.323656514,503329,504861,"W","Contig19-10202","W",29952,31484,0.627160662,0.059544686,0
"3916","orf19.4234","","Ca21chr5",2693.650933,2375.771684,0.881989442,0.257925742,0.960035086,0.79425572,506321,504930,"C","Contig19-10202","C",32944,31553,0.541083471,0.063981456,0
"3917","orf19.4235","PDE1","Ca21chr5",511.7958994,113.3716978,0.221445288,32.18461319,0.88192412,0.875181242,508165,509445,"W","Contig19-10202","W",34788,36068,0.53506536,0.03780013,0
"3918","orf19.4236","RET2","Ca21chr5",755.2329414,563.2249908,0.745763274,0.280036093,0.534504887,0.063476344,511369,509648,"C","Contig19-10202","C",37992,36271,0.563781613,0.026331162,0
"3920","orf19.4240","","Ca21chr5",674.4828758,403.4993352,0.598235107,0.2963596,0.078073204,0.039739118,515226,514042,"C","Contig19-10202","C",41849,40665,0.597098838,0.071019841,0
"3921","orf19.4241","","Ca21chr5",568.7217383,493.7351774,0.868148945,0.173376435,0.372790037,0.323615777,515686,516000,"W","Contig19-10202","W",42309,42623,0.48257776,0.064409921,0
"3922","orf19.4242","CST20","Ca21chr5",286.3329227,74.45725221,0.260467804,26.32224248,0.374774594,0.434696302,521587,517901,"C","Contig19-10202","C",48210,44524,0.561464991,0.029486539,0
"3925","orf19.4245","","Ca21chr5",124.4031068,84.25916536,0.678647296,0.488053593,0.249795515,0.124190815,527057,525711,"C","Contig19-10202","C",53680,52334,0.68243605,0.053405301,0
"3926","orf19.4246","","Ca21chr5",1284.406502,1449.540061,1.128567988,0.518822058,0.775453432,0.590152395,529708,531501,"W","Contig19-10202","W",56331,58124,0.608903586,0.034520343,0
"3927","orf19.4247","","Ca21chr5",383.7439879,507.9690644,1.323718626,0.693118951,0.776767212,0.604043411,532696,531752,"C","Contig19-10202","C",59319,58375,0.543454354,0.029618114,0
"3928","orf19.4248","","Ca21chr5",3665.562401,3439.610462,0.93835818,0.182110975,0.772970488,0.203567059,533248,534153,"W","Contig19-10202","W",59871,60776,0.573375149,0.07422013,0
"3931","orf19.4252","","Ca21chr5",287.2969419,357.9864034,1.246050171,1.003492944,0.522534752,0.45418505,538630,537740,"C","Contig19-10202","C",65254,64364,0.48064379,0.014086876,0
"3932","orf19.4253","","Ca21chr5",230.8640676,150.6385066,0.652498711,1.348475113,0.159417174,0.188267426,538910,541255,"W","Contig19-10202","W",65534,67879,0.576183803,0.032938857,0
"3933","orf19.4255","ECM331","Ca21chr5",7144.87613,4167.495853,0.583284549,0.196331087,0.510180751,0.014232905,542775,541534,"C","Contig19-10202","C",69399,68158,0.589869069,0.027588114,0
"3934","orf19.4257","INT1","Ca21chr5",358.1579184,120.1277787,0.335713625,0.451414016,0.551139891,0.049006789,547677,553247,"W","Contig19-10202","W",74886,79871,0.602145305,0.055799892,0
"3935","orf19.4258","","Ca21chr5",1262.730688,556.8513533,0.4409898,0.862115122,0.282086569,0.325461568,553778,554758,"W","Contig19-10202","W",80402,81382,0.619644569,0.05482072,0
"3936","orf19.4261","TIF5","Ca21chr5",1965.195508,1670.715241,0.850152177,0.221274131,0.284326056,0.092767245,556500,555238,"C","Contig19-10202","C",83124,81862,0.602166892,0.018519938,0
"3937","orf19.4262","","Ca21chr5",401.1400042,193.2744856,0.481813042,0.50817125,0.365922911,0.119807861,559089,557647,"C","Contig19-10202","C",85749,84271,0.613063464,0.040786053,0
"3938","orf19.4263","","Ca21chr5",300.1636956,209.1395213,0.697474784,0.374493182,0.519982044,0.203989769,560499,559336,"C","Contig19-10202","C",87123,85960,0.5903386,0.02876632,0
"3940","orf19.4265","UAP1","Ca21chr5",928.98625,496.4028764,0.534349003,0.481489636,0.148701519,0.073561078,565078,566538,"W","Contig19-10202","W",91702,93162,0.595435136,0.037272285,0
"3941","orf19.4266","SPR28","Ca21chr5",105.2988201,87.17390625,0.828143648,0.840916473,0.996539518,0.984765251,568047,566673,"C","Contig19-10202","C",94671,93297,0.595417564,0.024049223,0
"3942","orf19.4268","UTP13","Ca21chr5",1547.611573,1070.813312,0.691913482,0.266300324,0.188288694,0.021614798,570509,568110,"C","Contig19-10202","C",97133,94734,0.601439922,0.032616728,0
"3943","orf19.4269","","Ca21chr5",537.5214411,418.1213549,0.777869166,1.497132624,0.885925082,0.800997179,572472,570718,"C","Contig19-10202","C",99096,97342,0.625862077,0.035130296,0
"3944","orf19.4270","","Ca21chr5",276.8889552,210.2508348,0.759934615,0.691971532,0.433079458,0.291113546,573196,575493,"W","Contig19-10202","W",99820,102117,0.579418271,0.020484518,0
"3945","orf19.4273","","Ca21chr5",377.0660485,359.7770252,0.954189052,0.338750797,0.904476104,0.311059138,579346,576587,"C","Contig19-10202","C",105970,103211,0.613648512,0.028069498,0
"3946","orf19.4274","PUT1","Ca21chr5",1889.61685,806.5683919,0.426842294,0.320477026,0.259874043,0.016982823,580957,582426,"W","Contig19-10202","W",107581,109050,0.591842233,0.026113941,0
"3948","orf19.4278","","Ca21chr5",736.3041461,438.4060844,0.595414391,0.227305201,0.029317539,0.026589364,588725,586716,"C","Contig19-10202","C",115351,113342,0.597858096,0.047956595,0
"3949","orf19.4279","MNN1","Ca21chr5",3473.095364,2528.273262,0.727959643,0.16762182,0.095323804,0.019343515,591842,589440,"C","Contig19-10202","C",118468,116066,0.619723472,0.057461736,0
"3950","orf19.4280","","Ca21chr5",169.3071473,79.5845867,0.472029216,0.340778935,0.304143184,0.243668938,594542,595192,"W","Contig19-10202","W",121168,121818,0.609056114,0.052309621,0
"3951","orf19.4281","IFH1","Ca21chr5",723.4410185,346.9532135,0.479587423,0.442767658,0.077713094,0.031735241,596396,595503,"C","Contig19-10202","C",123022,122129,0.621161363,0.059794413,0
"3952","orf19.4282","","Ca21chr5",496.2443778,272.1378369,0.548210681,18.19712662,0.943291533,0.919293154,598160,597123,"C","Contig19-10202","C",124787,123879,0.61745818,0.036171471,0
"3953","orf19.4283","","Ca21chr5",13383.33046,9858.82418,0.736649537,0.478546616,0.684439985,0.09691513,601853,600846,"C","Contig19-10202","C",128480,127473,0.611707377,0.026601643,0
"3954","orf19.4284","BUR2","Ca21chr5",986.066153,1158.311723,1.174679528,30.29030963,0.651640412,0.436480895,602769,604349,"W","Contig19-10202","W",129396,130976,0.672323402,0.019459994,0
"3955","orf19.4286","","Ca21chr5",222.7867257,248.1770605,1.113967,0.547773768,0.4313157,0.202920795,604784,605758,"W","Contig19-10202","W",131411,132385,0.658272307,0.050797054,0
"3956","orf19.4287","","Ca21chr5",370.054759,326.6115988,0.882603428,0.906978145,0.959202198,0.907640537,606083,607180,"W","Contig19-10202","W",132692,133807,0.564940973,0.036486708,0
"3957","orf19.4288","CTA7","Ca21chr5",620.0351403,461.0721266,0.74342274,43.51723284,0.807212769,0.751271731,607840,610344,"W","Contig19-10202","W",134299,136971,0.612834273,0.036621003,0
"3958","orf19.4290","TRR1","Ca21chr5",1399.603662,1174.505391,0.83916999,0.457991086,0.35929015,0.273456468,611366,612328,"W","Contig19-10202","W",137993,138955,0.593429334,0.043323358,0
"3959","orf19.4292","","Ca21chr5",403.0328089,488.2431952,1.211422952,0.601503169,0.991288282,0.976891944,612695,613525,"W","Contig19-10202","W",139322,140152,0.591220466,0.038670259,0
"3960","orf19.4293","","Ca21chr5",1480.867517,1201.738216,0.811509606,0.313749944,0.272916469,0.136721034,614761,613610,"C","Contig19-10202","C",141388,140237,0.600757295,0.040735796,0
"3961","orf19.4294","","Ca21chr5",355.629618,189.1950895,0.5322196,0.285901366,0.754513775,0.058425322,614957,616624,"W","Contig19-10202","W",141584,143251,0.590890604,0.028956387,0
"3962","orf19.4295","","Ca21chr5",273.1528501,63.53345579,0.233061009,0.333325444,0.302906679,0.010072178,619739,616686,"C","Contig19-10202","C",145601,143313,0.599905553,0.030445925,0
"3963","orf19.4297","CKB2","Ca21chr5",701.2442328,373.7517249,0.53298367,0.549660248,0.020250112,0.054277422,620248,621051,"W","Contig19-10202","W",146876,147679,0.586070013,0.032845823,0
"3964","orf19.4299","MSW1","Ca21chr5",210.9101433,143.6931855,0.681300497,0.415856608,0.133182679,0.141686078,621387,622586,"W","Contig19-10202","W",148015,149214,0.600935822,0.055388628,0
"3965","orf19.4301","","Ca21chr5",478.9671753,152.11798,0.317595835,0.22499835,0.017949957,0.008503702,623550,625994,"W","Contig19-10202","W",150178,152622,0.5479245,0.036209562,0
"3966","orf19.4304","GAP1","Ca21chr5",202.5521147,462.4880712,2.283304087,1.112669099,0.573525842,0.39100299,627851,626103,"C","Contig19-10202","C",154479,152731,0.614284801,0.052930753,0
"3969","orf19.4306","","Ca21chr5",632.9885291,567.9647183,0.897274899,0.330372152,0.731986136,0.551683983,630575,629763,"C","Contig19-10202","C",157203,156391,0.609150056,0.026072938,0
"3970","orf19.4307","","Ca21chr5",396.7425831,415.855422,1.047734267,0.927736997,0.914504882,0.700381216,630820,631698,"W","Contig19-10202","W",157448,158326,0.529593872,0.017560792,0
"3971","orf19.4308","HSL1","Ca21chr5",826.1276735,356.4634452,0.431688858,0.156809356,0.394849596,0.006871872,636248,631860,"C","Contig19-10202","C",162876,158488,0.626761762,0.058180654,0
"3972","orf19.4309","GRP2","Ca21chr5",1837.033865,1589.345297,0.865169296,0.34216122,0.384853705,0.283369713,640030,639005,"C","Contig19-10202","C",166658,165633,0.563655297,0.005639842,0
"3974","orf19.4311","YNK1","Ca21chr5",10405.7986,6391.073974,0.614183901,0.207249596,0.317494484,0.020226795,641794,642249,"W","Contig19-10202","W",168422,168877,0.506228666,0.022777863,0
"3975","orf19.4312","","Ca21chr5",802.5774153,404.6076573,0.504135364,0.380471532,0.157649851,0.043489112,642679,644991,"W","Contig19-10202","W",169307,171619,0.605427644,0.027983704,0
"3976","orf19.4315","","Ca21chr5",157.8107164,153.5862571,0.972204085,28.68909229,0.447636475,0.362852954,647571,645289,"C","Contig19-10202","C",174199,171917,0.56971495,0.024325789,0
"3977","orf19.4316","","Ca21chr5",483.0416437,476.0858991,0.985600114,0.352563289,0.871053994,0.695380861,648551,649741,"W","Contig19-10202","W",175179,176369,0.558890038,0.027272258,0
"3978","orf19.4317","GRE3","Ca21chr5",977.2966228,701.2544359,0.717545134,0.159870347,0.241917532,0.011061235,650942,649827,"C","Contig19-10202","C",177570,176455,0.599047345,0.044046049,0
"3979","orf19.4318","MIG1","Ca21chr5",1383.290857,863.2959151,0.624088499,0.245622104,0.052598802,0.056097246,653658,651946,"C","Contig19-10202","C",180286,178574,0.603740296,0.028475881,0
"3982","orf19.4322","DAP2","Ca21chr5",275.4038706,111.7712772,0.40680913,0.361842885,0.36772526,0.072618103,657008,659524,"W","Contig19-10202","W",183636,186152,0.62301681,0.037803162,0
"3983","orf19.4323","","Ca21chr5",128.1748383,117.9726294,0.920403965,0.905259047,0.601208429,0.632784891,660193,659690,"C","Contig19-10202","C",186821,186318,0.605406551,0.06001402,0
"3985","orf19.4325","","Ca21chr5",1110.683421,870.8839273,0.78409735,0.311774559,0.168390302,0.135830825,664494,661063,"C","Contig19-10202","C",191122,187691,0.567546316,0.031239427,0
"3987","orf19.4328","CCC2","Ca21chr5",998.5924653,823.3420614,0.824502577,0.275389414,0.482519748,0.086019849,668063,671677,"W","Contig19-10202","W",194691,198305,0.557127412,0.03043965,0
"3989","orf19.4332","","Ca21chr5",266.4085656,184.9354281,0.693745726,5.771895422,0.912160276,0.827622046,674361,675953,"W","Contig19-10202","W",200989,202581,0.610554757,0.036103109,0
"3990","orf19.4334","PGA58","Ca21chr5",651.4231528,541.5796431,0.831379175,0.194414355,0.639973607,0.101367663,677230,676508,"C","Contig19-10202","C",203858,203136,0.58659364,0.021113797,0
"3991","orf19.4335","TNA1","Ca21chr5",869.6591666,431.615239,0.496303903,0.229047272,0.16744796,0.015299576,681090,679558,"C","Contig19-10202","C",207718,206186,0.551145017,0.031100483,0
"3992","orf19.4336","RPS5","Ca21chr5",13464.32324,9987.536604,0.741777839,0.324238818,0.400671802,0.249620755,683005,683682,"W","Contig19-10202","W",209633,210310,0.571635202,0.0186895,0
"3993","orf19.4337","","Ca21chr5",556.7842707,238.8909954,0.429225711,0.309401266,0.560923869,0.038177264,686079,684064,"C","Contig19-10202","C",212708,210692,0.718997931,0.048311998,0
"3994","orf19.4339","VPS4","Ca21chr5",545.8738304,622.8376812,1.140948979,34.20535856,0.961410757,0.946941537,687547,688866,"W","Contig19-10202","W",214176,215495,0.662185032,0.04630102,0
"3996","orf19.4340.1","","Ca21chr5",138.218185,84.03726795,0.608004424,1.539344302,0.397649693,0.486116639,691099,690642,"C","Contig19-10202","C",217728,217271,0.609381103,0.027488294,0
"3997","orf19.4341","","Ca21chr5",1037.305759,712.6238818,0.687045295,0.272571542,0.771490239,0.055663388,691336,692784,"W","Contig19-10202","W",218511,219413,0.564967585,0.031121771,0
"3998","orf19.4342","","Ca21chr5",632.991063,467.0655129,0.737870628,0.255027777,0.454215411,0.07658993,697397,698467,"W","Contig19-10202","W",224026,225096,0.637103647,0.027563125,0
"3999","orf19.4346","","Ca21chr5",360.6527068,185.0184382,0.513009981,0.47090256,0.054605509,0.0409133,705913,699638,"C","Contig19-10202","C",232542,226267,0.649870769,0.087817813,0
"4000","orf19.4347","","Ca21chr5",1078.693528,788.8801641,0.731329283,0.707134842,0.203208974,0.21864897,709994,711913,"W","Contig19-10202","W",236623,238542,0.568019585,0.060485256,0
"4001","orf19.4348","","Ca21chr5",277.2966713,126.9271313,0.457730454,1.604536638,0.458975434,0.23591795,712948,716733,"W","Contig19-10202","W",239550,243362,0.61794403,0.02683392,0
"4002","orf19.4349","","Ca21chr5",2094.822545,2046.92732,0.977136381,0.232051258,0.827395855,0.374360824,719339,716895,"C","Contig19-10202","C",245968,243524,0.511503466,0.024945005,0
"4003","orf19.2657","","Ca21chr5",295.2037088,264.8428588,0.896646654,0.378301068,0.741816213,0.301914322,728208,726085,"C","Contig19-10155","W",51011,53134,1.004012881,0.114068003,0
"4004","orf19.2655","BUB3","Ca21chr5",1653.951186,1949.289255,1.178565167,0.346228412,0.989615089,0.955993389,731837,732958,"W","Contig19-10155","C",47382,46261,0.606568269,0.038984903,0
"4005","orf19.2654","RMS1","Ca21chr5",244.4653018,122.2492574,0.50006793,0.247005649,0.333016108,0.014307813,734722,736380,"W","Contig19-10155","C",44497,42839,0.518164284,0.030311941,0
"4008","orf19.2651","CAM1-1","Ca21chr5",14275.4314,17028.21993,1.192833999,0.43912308,0.934278707,0.677912084,742856,744115,"W","Contig19-10155","C",36363,35104,0.616397678,0.043797902,0
"4009","orf19.2650.1","","Ca21chr5",351.7114589,307.9717603,0.876585297,0.520290333,0.494744429,0.084252744,744620,744333,"C","Contig19-10155","W",34599,34886,0.593214185,0.053299893,0
"4010","orf19.2650","","Ca21chr5",101.8972303,118.2830894,1.160545106,1.143043227,0.709739906,0.543886603,747470,745173,"C","Contig19-10155","W",31749,34046,0.66003469,0.028828913,0
"4011","orf19.2649","PCL1","Ca21chr5",890.3998627,691.823797,0.776981024,0.250612297,0.412416761,0.050719003,750012,748891,"C","Contig19-10155","W",29207,30328,0.604254898,0.028040744,0
"4012","orf19.2647","ZCF14","Ca21chr5",223.1307606,112.2290371,0.50334527,0.355242904,0.490599219,0.055498059,755770,754184,"C","Contig19-10155","W",23449,25035,0.625221543,0.02332673,0
"4013","orf19.2646","ZCF13","Ca21chr5",545.2591315,485.7559881,0.890871808,0.397439453,0.648776977,0.25511488,759778,756050,"C","Contig19-10155","W",19441,23169,0.678191099,0.072732663,0
"4015","orf19.2644","QCR2","Ca21chr5",11736.85565,8785.775968,0.748563008,0.294031806,0.150977253,0.069543415,762003,763127,"W","Contig19-10155","C",17216,16092,0.581724754,0.029171561,0
"4016","orf19.2643","","Ca21chr5",3257.183879,2971.766629,0.912373001,0.166745337,0.605865034,0.240586646,763528,764001,"W","Contig19-10155","C",15691,15218,0.576199784,0.038450953,0
"4017","orf19.2642","","Ca21chr5",111.7013442,58.67508928,0.528972392,0.394001027,0.273111769,0.08030015,764706,764191,"C","Contig19-10155","W",14513,15028,0.597846142,0.02625801,0
"4018","orf19.2641","ARP1","Ca21chr5",287.2615696,217.3924498,0.757355454,0.86502588,0.542881693,0.349281536,764935,766179,"W","Contig19-10155","C",14284,13040,0.617024637,0.026570318,0
"4019","orf19.2640","FUR1","Ca21chr5",1650.506691,1619.745978,0.981362867,0.343228603,0.795682215,0.452570899,766939,766283,"C","Contig19-10155","W",12280,12936,0.591790275,0.053440455,0
"4020","orf19.2639.1","","Ca21chr5",624.120324,605.8927954,0.970535674,1.535865715,0.809333545,0.335554705,767784,767257,"C","Contig19-10155","W",11435,11962,0.554588224,0.050520667,0
"4021","orf19.2639","","Ca21chr5",664.0040196,438.6119798,0.661309219,0.623838825,0.167034554,0.050670908,768671,768150,"C","Contig19-10155","W",10548,11069,0.570733396,0.056099759,0
"4023","orf19.2637","","Ca21chr5",717.1139901,661.6080274,0.922401788,6.019899629,0.898011378,0.645088344,778356,777343,"C","Contig19-10155","W",863,1876,0.585656415,0.026270077,0
"4024","orf19.6654","","Ca21chr5",1188.447638,932.5263698,0.784659197,0.880359663,0.589085896,0.436008707,780239,778743,"C","Contig19-2472","C",924,1,0.607270106,0.060595738,0
"4025","orf19.6656","DUR3","Ca21chr5",660.1382892,558.9776407,0.846758399,0.332578649,0.670748044,0.356727182,782254,780689,"C","Contig19-2472","C",2939,1374,0.618546297,0.05116136,0
"4026","orf19.6659","GAP6","Ca21chr5",2758.013439,4784.455498,1.734746985,0.421371603,0.35119343,0.020543981,785599,787305,"W","Contig19-2472","W",6260,7990,0.61080246,0.047358421,0
"4027","orf19.6660","","Ca21chr5",3523.339123,2041.04246,0.579292083,0.174862474,0.020320114,0.00980402,789259,787718,"C","Contig19-2472","C",9944,8403,0.59351189,0.043199911,0
"4028","orf19.6662","","Ca21chr5",301.1707283,169.2657923,0.562026042,0.206485719,0.044331357,0.100152151,793045,792500,"C","Contig19-2472","C",13730,13185,0.575320387,0.027407645,0
"4029","orf19.6663","RPS25B","Ca21chr5",18380.87794,13079.67939,0.711591657,0.147132855,0.195723227,0.012016113,793783,793466,"C","Contig19-2472","C",14468,14151,0.598539564,0.062865105,0
"4030","orf19.6665","","Ca21chr5",3609.888907,1933.854626,0.535710288,0.269323504,0.141042916,0.011159855,794542,796920,"W","Contig19-2472","W",15185,17605,0.61620725,0.049568145,0
"4031","orf19.6667","","Ca21chr5",1087.906742,1105.025327,1.015735343,0.321366634,0.891055136,0.645927604,797458,797964,"W","Contig19-2472","W",18143,18649,0.607809225,0.070219324,0
"4032","orf19.6668","","Ca21chr5",178.5969453,147.8580387,0.82836722,0.202109219,0.931500966,0.187440652,798397,798906,"W","Contig19-2472","W",19082,19591,0.632846964,0.082403938,0
"4033","orf19.6670","CAC2","Ca21chr5",401.7691417,239.7382281,0.596706425,0.411218479,0.287249118,0.085161795,800389,799007,"C","Contig19-2472","C",21074,19692,0.584477462,0.03103084,0
"4034","orf19.6671","LAP4","Ca21chr5",658.7391906,516.475429,0.784036287,0.488856883,0.526903497,0.304339644,801111,802847,"W","Contig19-2472","W",21796,23532,0.611948858,0.07393578,0
"4035","orf19.6672","","Ca21chr5",5894.704428,5455.183261,0.925437963,0.403848581,0.799429398,0.195536386,803173,804639,"W","Contig19-2472","W",23858,25324,0.593375254,0.038465102,0
"4036","orf19.6673","HEX1","Ca21chr5",452.3818679,362.561445,0.801449993,0.576780855,0.62099137,0.29030156,805379,807067,"W","Contig19-2472","W",26064,27752,0.621846844,0.04688741,0
"4037","orf19.6674","BTS1","Ca21chr5",259.9110593,269.7223956,1.037748822,0.532908989,0.924820457,0.835165647,807724,808722,"W","Contig19-2472","W",28409,29407,0.593868035,0.067373628,0
"4038","orf19.6676","","Ca21chr5",3135.733593,1995.817273,0.636475394,0.261695667,0.193581023,0.078947702,809408,810307,"W","Contig19-2472","W",30093,30992,0.61502386,0.092873427,0
"4040","orf19.6679","","Ca21chr5",245.405578,265.511964,1.081931251,0.538754106,0.592269498,0.354361635,814416,813556,"C","Contig19-2472","C",35101,34241,0.631373326,0.120783847,0
"4041","orf19.6680","FGR27","Ca21chr5",362.1477685,250.6073394,0.692002992,0.725897022,0.175852886,0.202918846,816610,818973,"W","Contig19-2472","W",37295,39658,0.618120319,0.049529665,0
"4042","orf19.6681","","Ca21chr5",172.8420793,151.3874573,0.875027771,34.70850606,0.605558138,0.563964248,819927,821171,"W","Contig19-2472","W",40612,41856,0.597688905,0.068594372,0
"4043","orf19.1124","","Ca21chr5",1199.01064,1169.054003,0.975015537,0.285540206,0.926728654,0.662760789,823432,822548,"C","Contig19-10093","W",34784,35668,0.620966208,0.056232123,0
"4046","orf19.1121","","Ca21chr5",2290.751033,2142.064353,0.935092606,0.303620632,0.847153935,0.389950681,825621,826442,"W","Contig19-10093","C",32595,31774,0.627232606,0.046827784,0
