orf,gene,A21_CHROMOSOME,WtMean2,MutMean2,fold.mut.by.wt,sd.ratio,p,p.paired,A21_START,A21_STOP,A21_STRAND,A19_CONTIG,A19_STRAND,A19_START,A19_STOP,CGH Ratio,CGH sd
orf19.831,,Ca21chr2,208.3921417,123.6261885,0.593238245,0.267782572,0.045361528,0.024130989,824594,823077,C,Contig19-10076,W,83115,84662,1.040132587,0.060380866
orf19.829,SCH9,Ca21chr2,311.491432,190.1983064,0.610605259,0.213019094,0.057661509,0.014333047,827890,825527,C,Contig19-10076,W,79849,82212,1.045583074,0.060251646
orf19.828,,Ca21chr2,1276.9565,1097.89602,0.859775584,0.285441184,0.894133086,0.69832331,830516,831313,W,Contig19-10076,C,77223,76426,0.982676104,0.087558331
orf19.827.1,RPL39,Ca21chr2,555.2760414,457.3848575,0.823707172,0.390128629,0.626901881,0.298542818,831684,832408,W,Contig19-10076,C,76055,75331,0.981368362,0.064662461
orf19.827,,Ca21chr2,5781.610715,6778.315125,1.172392169,0.49007562,0.964791655,0.940560693,832828,833565,W,Contig19-10076,C,74911,74297,1.036193988,0.053004483
orf19.826,,Ca21chr2,414.5435414,326.4180204,0.78750096,0.291333453,0.854987762,0.155815838,835946,834090,C,Contig19-10076,W,71793,73649,0.993498534,0.0507489
orf19.825,GCD7,Ca21chr2,783.6212366,896.5686118,1.144135164,0.431110335,0.720439379,0.54530982,836207,837304,W,Contig19-10076,C,71532,70435,1.022451392,0.034996451
orf19.823,,Ca21chr2,0,0,1,0,NA,NA,838001,837333,C,Contig19-10076,W,69738,70406,0.963014636,0.04322908
orf19.822,,Ca21chr2,14102.68632,12881.42773,0.913402414,0.582394643,0.842786307,0.74875299,838760,838191,C,Contig19-10076,W,68979,69548,1.014003407,0.064659712
orf19.820,SDS22,Ca21chr2,750.1800815,864.5167004,1.15241223,0.293409403,0.634460656,0.109993913,840282,839158,C,Contig19-10076,W,67457,68581,0.999977641,0.074973429
orf19.819,,Ca21chr2,4890.954824,6287.147698,1.285464275,0.450840874,0.432373092,0.194225711,841148,840816,C,Contig19-10076,W,66591,66923,1.052279911,0.05807394
orf19.816,DCK2,Ca21chr2,474.3601603,439.3013743,0.926092474,0.399413201,0.548857319,0.546980424,846741,841435,C,Contig19-10076,W,60998,66304,1.031193584,0.083758302
orf19.815,DCK1,Ca21chr2,2265.10635,1881.907542,0.830825246,0.374012527,0.532906108,0.51499968,853403,847659,C,Contig19-10076,W,54336,60080,1.028251283,0.070504383
orf19.814,SSY1,Ca21chr2,1109.788197,1768.165196,1.59339581,15.5643165,0.868853604,0.761388677,857429,854787,C,Contig19-10076,W,50311,52719,1.062800379,0.083588696
orf19.813,,Ca21chr2,797.7984981,603.7760182,0.756802651,0.455380322,0.488967945,0.231472258,858692,860770,W,Contig19-10076,C,49048,46970,0.984086572,0.035033099
orf19.812,,Ca21chr2,11.83012882,19.65304399,1,3.728805977,0.841622662,0.726702585,861107,862480,W,Contig19-10076,C,46744,45260,1.048327458,0.120170143
orf19.811,,Ca21chr2,161.0107376,186.360176,1.157439428,0.895020732,0.67449515,0.71393914,862641,863777,W,Contig19-10076,C,45099,43963,1.045430224,0.069324235
orf19.810,,Ca21chr2,177.1564189,161.1622285,0.909717128,0.588623633,0.807397813,0.633464908,864311,868115,W,Contig19-10076,C,43170,39625,1.04694466,0.083687955
orf19.809,,Ca21chr2,1450.397304,1397.370597,0.963439875,0.206424744,0.910455033,0.613780998,869597,868233,C,Contig19-10076,W,38143,39507,0.999404314,0.067357875
orf19.808,,Ca21chr2,1488.988884,776.4864524,0.521485728,0.318116324,0.596994441,0.075347745,870747,872579,W,Contig19-10076,C,36993,35161,1.068505824,0.078175583
orf19.807,CHS5,Ca21chr2,1116.58449,1411.846392,1.264433103,0.455845266,0.808675183,0.343997134,873052,874740,W,Contig19-10076,C,34688,33000,1.037185368,0.108550551
orf19.806,VMA7,Ca21chr2,2113.365774,2139.966903,1.012587092,0.196287818,0.886050542,0.783267087,875328,874972,C,Contig19-10076,W,32400,32768,1.032112334,0.127352606
orf19.805,,Ca21chr2,176.4510173,149.2188086,0.844869014,0.599010613,0.990270454,0.947786112,875646,876503,W,Contig19-10076,C,32094,31237,1.038869104,0.038130515
orf19.804,,Ca21chr2,1107.608541,1212.476323,1.094679463,0.747105056,0.848683437,0.577385524,878202,877222,C,Contig19-10076,W,29538,30518,1.091553404,0.111653637
orf19.802,UGA1,Ca21chr2,1534.865628,2409.866488,1.570083037,1.734985428,0.086476598,0.0600908,880090,878675,C,Contig19-10076,W,27649,29065,1.034069629,0.091435169
orf19.801,TBF1,Ca21chr2,427.7823632,308.1016948,0.720230008,0.15931268,0.331474359,0.010977273,880878,883538,W,Contig19-10076,C,26861,24201,1.062247811,0.055887335
orf19.799,STE4,Ca21chr2,252.9834389,830.8371183,3.284156156,3.30316089,0.005032821,0.00416975,884534,885907,W,Contig19-10076,C,23205,21832,1.072725314,0.089659217
orf19.798,TAF14,Ca21chr2,4149.592586,4677.667608,1.127259487,0.236452249,0.496324944,0.28743714,887089,886180,C,Contig19-10076,W,20849,21559,1.023870557,0.055633614
orf19.797,BAT21,Ca21chr2,1959.091028,2396.126473,1.223061748,0.381935068,0.875287087,0.037499576,887895,889076,W,Contig19-10076,C,19844,18663,1.03447515,0.065738177
orf19.796,HYM1,Ca21chr2,480.9547266,445.8721476,0.927056379,0.242645666,0.77043695,0.585442998,890223,889210,C,Contig19-10076,W,17516,18529,1.03969096,0.067446565
orf19.795,VPS36,Ca21chr2,228.7579089,266.8426782,1.166485039,0.452300631,0.55392978,0.172162515,890821,892818,W,Contig19-10076,C,16918,14921,1.046858656,0.061810982
orf19.794,SSN3,Ca21chr2,622.3147311,468.2105928,0.752369451,0.298642795,0.212561549,0.047034247,893154,894980,W,Contig19-10076,C,14585,12759,1.020593362,0.077617143
orf19.793,CAK1,Ca21chr2,291.3819955,351.8796582,1.207623201,0.586367474,0.20648262,0.2935576,895179,896198,W,Contig19-10076,C,12560,11541,0.986273396,0.060510757
orf19.792,,Ca21chr2,55.40646415,20.40882784,1,0.258975722,0.272982538,0.212569967,897896,898807,W,Contig19-10076,C,9843,8947,1.074500882,0.1256974
orf19.1592,,Ca21chr2,936.7499207,1007.121627,1.075123258,0.383736206,0.869679137,0.569750182,901795,901037,C,Contig19-1800,W,3663,4421,1.044670244,0.042087442
orf19.1591,ERG10,Ca21chr2,2394.059301,2513.995716,1.050097512,0.945075648,0.805269586,0.84599227,902615,903823,W,Contig19-1800,C,2843,1635,1.038548526,0.041900377
orf19.1590,,Ca21chr2,4.409135073,31.5460776,1,36.40848185,0.225758913,0.192991264,904041,905822,W,Contig19-1800,C,1492,17,1.001054365,0.054304662
orf19.4521,,Ca21chr2,272.0989185,380.6724508,1.399022285,1.4367628,0.236484882,0.126700158,906971,905961,C,Contig19-10208,W,62461,63471,1.014319322,0.04602668
orf19.4520,,Ca21chr2,483.0067752,362.2683091,0.750113612,0.588885405,0.907335439,0.534228723,908353,907778,C,Contig19-10208,W,61079,61654,1.020319393,0.033537353
orf19.4519,SUV3,Ca21chr2,866.9418069,552.7346697,0.637568364,0.144005597,0.332444057,0.006701103,910930,908768,C,Contig19-10208,W,58502,60664,1.001495234,0.047233346
orf19.4518,,Ca21chr2,543.6666382,443.3383665,0.815459944,0.274811164,0.500105156,0.050333561,911560,914463,W,Contig19-10208,C,57872,54969,1.063262593,0.069364973
orf19.4517,,Ca21chr2,387.0254316,310.2918791,0.801735115,0.422679872,0.787080133,0.35996859,914828,916060,W,Contig19-10208,C,54604,53372,0.94012948,0.035963759
orf19.4516,,Ca21chr2,824.3536643,789.7899122,0.958071695,0.302563813,0.86584981,0.372557849,917707,916163,C,Contig19-10208,W,51725,53269,1.013687104,0.048481497
orf19.4515,,Ca21chr2,36.94986842,29.79716111,1,9.879355267,0.710523865,0.540660206,918785,919528,W,Contig19-10208,C,50647,49904,1.013219936,0.105993649
orf19.4513,,Ca21chr2,1339.075582,1567.839297,1.170837045,0.242043981,0.51422266,0.097482161,920896,922086,W,Contig19-10208,C,48536,47346,1.006821605,0.056251443
orf19.4511,,Ca21chr2,145.6767431,167.2568384,1.146824794,10.24869011,0.570951208,0.337822987,922654,924717,W,Contig19-10208,C,46778,44715,1.052163915,0.081039632
orf19.4510,IFA4,Ca21chr2,152.8239172,165.5705908,1.082227328,10.09143848,0.536145815,0.303922385,925655,927688,W,Contig19-10208,C,43777,41744,1.006439186,0.051694733
orf19.4509,,Ca21chr2,0,0,1,0,NA,NA,928713,929033,W,Contig19-10208,C,40719,40399,0.983375839,0.098602993
orf19.4508,,Ca21chr2,5.799968869,1.562192194,1,0.421843903,0.712690077,0.422649731,929080,929727,W,Contig19-10208,C,40352,39705,0.972605008,0.058379357
orf19.4507,,Ca21chr2,16.35593485,85.1217092,1,26.97142382,0.080490006,0.018310913,930016,930831,W,Contig19-10208,C,39416,38601,1.029147149,0.055674941
orf19.4506,LYS22,Ca21chr2,11755.11665,10155.65253,0.863934645,0.33283368,0.80293502,0.584200721,932070,933323,W,Contig19-10208,C,37362,36109,1.002017737,0.045755973
orf19.4505,ADH3,Ca21chr2,435.420827,561.8666913,1.29039921,0.795887319,0.654055936,0.564006774,935624,936472,W,Contig19-10208,C,33808,32960,1.010179109,0.036917973
orf19.4504,,Ca21chr2,704.3357595,782.8194591,1.111429384,0.174378783,0.760122044,0.26391544,937567,938616,W,Contig19-10208,C,31865,30816,1.006440515,0.069875246
orf19.4503,,Ca21chr2,1673.356235,2335.214644,1.395527501,0.527231254,0.245212079,0.332511261,938829,939506,W,Contig19-10208,C,30603,29926,1.029665288,0.064197479
orf19.4502,,Ca21chr2,1013.032917,1116.419499,1.102056488,0.319356006,0.854241969,0.329856992,940777,946524,W,Contig19-10208,C,28655,22908,1.036646869,0.063736621
orf19.4499,RIM2,Ca21chr2,261.8054513,220.0944922,0.841316167,0.384954073,0.481372514,0.244329529,947031,948230,W,Contig19-10208,C,22401,21202,0.994651217,0.05562495
orf19.4498,,Ca21chr2,0,0,1,0,NA,NA,949182,948475,C,Contig19-10208,W,20250,20957,0.990812662,0.068321491
orf19.4497,MED8,Ca21chr2,586.9117912,583.3834017,0.99427381,1.210911243,0.780114769,0.558280362,949405,950124,W,Contig19-10208,C,20027,19308,0.963406569,0.065837753
orf19.4496,,Ca21chr2,204.6325472,375.7843366,1.83638596,0.285759218,0.133702209,0.000444456,951458,950406,C,Contig19-10208,W,17974,19026,1.029277635,0.086929777
orf19.4495,NDH51,Ca21chr2,3227.768829,3368.386534,1.043564986,0.470063456,0.675158882,0.367624924,954019,952547,C,Contig19-10208,W,15413,16885,1.098396074,0.14990146
orf19.4494,KTR2,Ca21chr2,766.1572857,681.089146,0.888967786,0.277849425,0.557232986,0.378204855,955166,956605,W,Contig19-10208,C,14266,12827,1.009733351,0.073331153
orf19.4492,,Ca21chr2,1196.177223,1498.063804,1.252376132,0.411157141,0.769370656,0.155931193,956939,958219,W,Contig19-10208,C,12493,11213,1.007938355,0.042175454
orf19.4491,ERG20,Ca21chr2,523.6709933,637.252385,1.216894564,0.602746316,0.717114428,0.646427531,958692,959747,W,Contig19-10208,C,10740,9685,0.975277756,0.05029058
orf19.4490.2,QCR8,Ca21chr2,18693.74424,21256.32804,1.137082425,0.269800735,0.548392829,0.403147532,960251,959964,C,Contig19-10208,W,9181,9468,0.985549337,0.089189857
orf19.4490,RPL17B,Ca21chr2,6957.621176,6300.522755,0.905557028,0.187762331,0.824171551,0.504206474,961997,961440,C,Contig19-10208,W,7435,7992,0.964793215,0.08202975
orf19.4488,,Ca21chr2,410.94564,261.9180353,0.637354457,0.560952655,0.478290044,0.267185952,965502,968417,W,Contig19-10208,C,3930,1015,0.990480172,0.039282306
orf19.144,SNU114,Ca21chr2,953.4124618,823.4772384,0.863914223,0.36985093,0.646777874,0.267163851,974872,971804,C,Contig19-10037,C,6071,3003,0.983245737,0.040060425
orf19.145,RPB4,Ca21chr2,206.3933958,141.9632084,0.688887,0.445692851,0.501402029,0.166530279,976175,975366,C,Contig19-10037,C,7378,6565,0.968812816,0.078356619
orf19.147,YAK1,Ca21chr2,506.0599497,442.1283042,0.873667842,0.58675146,0.480518273,0.332958849,979332,976903,C,Contig19-10037,C,10537,8106,1.051064166,0.056468601
orf19.149,,Ca21chr2,44.97560545,27.26146393,1,1.316616104,0.660385842,0.474474342,980006,980443,W,Contig19-10037,W,11211,11648,1.095938367,0.166629111
orf19.150,,Ca21chr2,379.6330632,367.1509835,0.967120673,0.321000509,0.892085191,0.768687577,981178,981642,W,Contig19-10037,W,12383,12847,1.054559887,0.136509406
orf19.151,TPO5,Ca21chr2,4042.381378,3301.387526,0.81669373,0.616696209,0.954993817,0.812982862,984458,982446,C,Contig19-10037,C,15048,13651,0.983231883,0.046309186
orf19.154,,Ca21chr2,348.1113171,447.2838707,1.284887474,0.821632292,0.406843882,0.047228692,986084,984999,C,Contig19-10037,C,17290,16205,0.997741574,0.045348087
orf19.155,URE2,Ca21chr2,2407.913906,2447.896913,1.016604833,0.342029347,0.785567645,0.524939589,987521,986487,C,Contig19-10037,C,18727,17693,0.9998032,0.036036132
orf19.156,FGR51,Ca21chr2,226.1438235,281.2563387,1.243526118,0.37451752,0.960040877,0.657756177,990196,988715,C,Contig19-10037,C,21948,19924,1.011120223,0.071481077
orf19.194,,Ca21chr2,101.0804237,55.41725069,0.549733938,0.362561246,0.702831571,0.119514726,991714,993321,W,Contig19-10044,C,19554,17947,0.965559478,0.078658051
orf19.193,,Ca21chr2,57.98927893,104.0908092,1.788204798,0.6001929,0.88890347,0.194990386,994229,993393,C,Contig19-10044,W,17039,17875,1.013908552,0.059912851
orf19.192,,Ca21chr2,293.4925103,305.3447966,1.040383608,0.265617062,0.952834244,0.911935361,995424,997127,W,Contig19-10044,C,15844,14141,1.035336176,0.060627101
orf19.191,KIC1,Ca21chr2,462.5107237,331.0422767,0.715750489,0.877046379,0.719287254,0.672614405,997849,1000524,W,Contig19-10044,C,13419,10744,1.044466171,0.053576071
orf19.190,,Ca21chr2,145.9629934,98.93317953,0.677796318,0.72019452,0.262894036,0.211967742,1000848,1001822,W,Contig19-10044,C,10420,9446,1.024890043,0.058377222
orf19.188,,Ca21chr2,368.2526078,284.6289045,0.772917553,1.407066472,0.910344256,0.788514457,1001967,1004417,W,Contig19-10044,C,9301,8102,1.013789113,0.074065544
orf19.185,,Ca21chr2,1781.815368,2043.877423,1.147075875,0.384806095,0.611092719,0.454331523,1005644,1004538,C,Contig19-10044,W,5622,6728,0.973090008,0.055695974
orf19.184,,Ca21chr2,298.7335422,191.5160991,0.64109339,0.12168599,0.077349715,0.002228036,1007321,1005900,C,Contig19-10044,W,3945,5366,1.040910591,0.06471811
orf19.183,HIS3,Ca21chr2,473.1351524,407.8122962,0.861632641,15.72627785,0.706106083,0.509913783,1007761,1008429,W,Contig19-10044,C,3505,2837,1.017182783,0.057553646
orf19.182,,Ca21chr2,1843.426427,1936.607023,1.050547499,0.276396914,0.868406825,0.49351406,1008679,1010094,W,Contig19-10044,C,2587,1179,0.994364604,0.0535363
orf19.4128,,Ca21chr2,1210.665247,1416.126088,1.169709043,0.572102608,0.959762408,0.912272738,1010792,1012096,W,Contig19-2119,C,12415,11111,1.001799782,0.046629528
orf19.4127,,Ca21chr2,1636.726572,1629.185701,0.995392711,0.300154936,0.818741645,0.774456203,1014567,1013161,C,Contig19-2119,W,8640,10046,1.017335033,0.046020531
orf19.4125,,Ca21chr2,733.2264035,452.3171337,0.617113347,0.384418618,0.267195232,0.225664076,1015910,1017148,W,Contig19-2119,C,7297,6059,1.010311378,0.068389611
orf19.4123,,Ca21chr2,1216.436091,859.628193,0.706677646,0.139226655,0.081129204,0.007543949,1022071,1017245,C,Contig19-2119,W,1136,5962,1.0448168,0.067796088
orf19.3521,ARH2,Ca21chr2,739.5987356,680.8384416,0.920551116,0.183885709,0.992770852,0.943935227,1023958,1023164,C,Contig19-10183,C,656,3,1.073384281,0.158237172
orf19.3522,,Ca21chr2,192.9609113,227.8180861,1.180176836,0.264127455,0.974814184,0.516926988,1026295,1026600,W,Contig19-10183,W,2993,3298,0.962316475,0.072916997
orf19.3523,CRK1,Ca21chr2,567.8804107,473.0990582,0.833096281,0.379076397,0.487317922,0.197428372,1029687,1027450,C,Contig19-10183,C,4942,4148,1.080668653,0.095304903
orf19.3526,ITR1,Ca21chr2,3178.339237,3073.494542,0.967012742,0.268514878,0.991568258,0.976101824,1031796,1030132,C,Contig19-10183,C,8495,6831,1.052493697,0.06825437
orf19.3527,CYT1,Ca21chr2,4837.332612,4933.860587,1.019954794,0.500681407,0.899215739,0.899008179,1033784,1032918,C,Contig19-10183,C,10483,9617,1.013237391,0.060395983
orf19.3528,,Ca21chr2,749.6060729,869.9186868,1.16050112,0.495106632,0.561322973,0.396627379,1035301,1034873,C,Contig19-10183,C,12000,11572,1.018459696,0.11427952
orf19.3529,ABP2,Ca21chr2,3.925166935,0,1,0.390913644,0.363217468,0.363217468,1036722,1038554,W,Contig19-10183,W,13421,15253,0.959636542,0.053176275
orf19.3530,CKA2,Ca21chr2,2833.196515,2265.513066,0.79963146,0.155795822,0.597005988,0.048753387,1039733,1038744,C,Contig19-10183,C,16432,15443,0.992132656,0.043446801
orf19.3531,,Ca21chr2,111.8359423,116.915359,1.045350878,0.699991192,0.85777533,0.351359636,1040198,1041031,W,Contig19-10183,W,16897,17730,1.029933168,0.073897931
orf19.3532,MRPL10,Ca21chr2,674.6521911,822.4404471,1.219058439,0.508827332,0.846124777,0.587307455,1041938,1041087,C,Contig19-10183,C,18637,17786,0.977705736,0.038401951
orf19.3533,,Ca21chr2,947.1127524,1121.987653,1.184640002,0.501597628,0.691757944,0.576292446,1043020,1043469,W,Contig19-10183,W,19719,20168,1.001059536,0.061917809
orf19.3534,RHO3,Ca21chr2,813.8475656,1014.861424,1.246992024,0.158692074,0.481951872,0.00369038,1044306,1043583,C,Contig19-10183,C,21005,20282,1.085655716,0.114576012
orf19.3535,,Ca21chr2,485.8988899,549.4569945,1.130805207,0.578667179,0.690955098,0.592475114,1045705,1044839,C,Contig19-10183,C,22404,21538,1.03139519,0.061113758
orf19.3536,,Ca21chr2,549.4214253,505.1342813,0.919393125,0.468165466,0.671220195,0.326009693,1047388,1046000,C,Contig19-10183,C,24087,22699,1.015495756,0.047822947
orf19.3537,,Ca21chr2,60.91101508,73.84886915,1,0.802124055,0.616757352,0.454550264,1048327,1047929,C,Contig19-10183,C,25026,24628,0.98443212,0.047463359
orf19.3538,FRE9,Ca21chr2,67.61862611,47.26422008,1,4.069129594,0.906286968,0.846589045,1049271,1051520,W,Contig19-10183,W,25970,28219,1.024896691,0.070349783
orf19.3539,,Ca21chr2,704.0147608,727.4503622,1.033288509,0.319046929,0.801842585,0.231441361,1052802,1051816,C,Contig19-10183,C,29501,28515,1.012947585,0.078559751
orf19.3540,MAK5,Ca21chr2,351.941813,412.2477748,1.171352081,0.296607156,0.544025976,0.197260812,1053006,1055354,W,Contig19-10183,W,29705,32053,1.0375323,0.051316464
orf19.3541,ERF1,Ca21chr2,5470.869375,5561.567138,1.016578309,0.201834402,0.883729155,0.404503201,1056790,1055480,C,Contig19-10183,C,33489,32179,1.00916506,0.07292799
orf19.3542,LEM3,Ca21chr2,1513.225593,1710.657683,1.130471022,0.518240644,0.490438533,0.166410916,1057098,1058417,W,Contig19-10183,W,33797,35116,1.038450488,0.120207458
orf19.3543,,Ca21chr2,71.81475951,77.87411675,1,0.784725806,0.571273496,0.521410765,1058799,1058455,C,Contig19-10183,C,35498,35154,1.002730099,0.016647405
orf19.3544,,Ca21chr2,703.7932512,604.637625,0.859112565,0.333099988,0.512451966,0.372784344,1059033,1060151,W,Contig19-10183,W,35732,36850,1.055758286,0.143489082
orf19.3545,,Ca21chr2,827.4410315,736.8248678,0.890486258,0.279603482,0.828306678,0.443922031,1060401,1063781,W,Contig19-10183,W,37100,40480,1.0274671,0.085179439
orf19.3546,,Ca21chr2,327.9579658,292.4748733,0.891805974,0.343287415,0.817820527,0.563588355,1064025,1065287,W,Contig19-10183,W,40724,41986,0.998786079,0.055499607
orf19.3547,,Ca21chr2,738.830607,746.2686855,1.010067367,0.439805983,0.753451146,0.563277625,1067309,1065306,C,Contig19-10183,C,44008,42005,1.001420309,0.053374024
orf19.3548,,Ca21chr2,54999.03572,36220.9115,0.658573574,0.293232333,0.014081815,0.030725501,1067541,1068212,W,Contig19-10183,W,44240,44911,1.036171751,0.124101207
orf19.3548.1,WH11,Ca21chr2,616.7981119,821.0716205,1.331183745,0.417777864,0.129634851,0.167344332,1069064,1069261,W,Contig19-10183,W,45763,45960,1.00486382,0.094836079
orf19.3549,CDC21,Ca21chr2,1051.778315,1392.475353,1.323924759,0.484890428,0.393503815,0.141435275,1069634,1070581,W,Contig19-10183,W,46333,47280,1.074399743,0.119648327
orf19.3550,SGO1,Ca21chr2,126.0364632,86.45518646,0.686368501,0.307664721,0.708018126,0.125217137,1072037,1070682,C,Contig19-10183,C,48736,47381,1.025675291,0.060948517
orf19.3551,,Ca21chr2,368.0213132,353.277498,0.959937605,0.138755091,0.841909543,0.399285243,1072240,1072617,W,Contig19-10183,W,48939,49316,0.991121158,0.066979366
orf19.3552,,Ca21chr2,325.7416079,334.805222,1.028321713,0.378405936,0.874118707,0.214659242,1075769,1072671,C,Contig19-10183,C,52468,49370,1.006850049,0.053644282
orf19.3553,RPF2,Ca21chr2,2344.720631,2945.846499,1.256374197,0.176451646,0.128078954,0.011652979,1077167,1076184,C,Contig19-10183,C,53866,52883,0.98367883,0.044725198
orf19.3554,AAT1,Ca21chr2,3255.190946,3021.35699,0.928165825,0.15214445,0.801548959,0.186718198,1079143,1077830,C,Contig19-10183,C,55842,54529,0.958175022,0.035498556
orf19.3555,,Ca21chr2,159.0971657,201.2659386,1.263726583,17.24288569,0.46662618,0.297835574,1083888,1086293,W,Contig19-10183,W,60587,62992,1.009678176,0.045212953
orf19.3556,,Ca21chr2,505.4287503,498.9918281,0.987264432,0.428316557,0.781349012,0.502320787,1086748,1089594,W,Contig19-10183,W,63447,66293,0.984469026,0.041287221
orf19.3557,,Ca21chr2,141.6506623,180.9422885,1.277383992,0.942792782,0.379526282,0.342290709,1090805,1089909,C,Contig19-10183,C,67504,66608,0.973432453,0.075641538
orf19.3558,,Ca21chr2,945.1989469,1020.538796,1.079707927,0.480784715,0.936776734,0.901037911,1091497,1090856,C,Contig19-10183,C,68196,67555,0.950354082,0.052545351
orf19.3559,,Ca21chr2,1022.436306,1069.588533,1.04611752,0.484799426,0.804303878,0.669782202,1093099,1091873,C,Contig19-10183,C,69798,68572,0.954854581,0.027308533
orf19.3561,CDC7,Ca21chr2,1865.42528,2001.759392,1.072988868,2.923024939,0.731969916,0.22857214,1093604,1095574,W,Contig19-10183,W,70303,72273,1.033649391,0.101230563
orf19.3563,,Ca21chr2,199.3990614,142.5179592,0.714737362,1.854933455,0.862445651,0.710956883,1097237,1095735,C,Contig19-10183,C,74107,72434,1.036284613,0.05304335
orf19.3564,RPC40,Ca21chr2,1672.93202,1611.755463,0.963431534,0.363874404,0.846078038,0.73009519,1099029,1098019,C,Contig19-10183,C,75827,74718,0.954123096,0.050062939
orf19.3565,,Ca21chr2,110.2542761,166.6185173,1.511958207,1.295761155,0.890105058,0.59298026,1100407,1099547,C,Contig19-10183,C,77106,76246,0.96980318,0.061057099
orf19.3567,BIO32,Ca21chr2,466.6795775,556.4962432,1.192458959,1.099277712,0.540432942,0.557039358,1102082,1100622,C,Contig19-10183,C,78781,77321,0.983424484,0.026735269
orf19.3568,RXT3,Ca21chr2,709.9034937,485.4732312,0.683697553,30.94007724,0.777729719,0.668272901,1104197,1102641,C,Contig19-10183,C,80896,79340,1.07406651,0.061086249
orf19.3569,,Ca21chr2,287.9296642,257.7810158,0.895291621,0.561122202,0.950829264,0.897732753,1106693,1107811,W,Contig19-10183,W,83392,84510,0.965684386,0.051918559
orf19.3571,,Ca21chr2,4904.10052,4411.123104,0.899476486,0.59450714,0.876713874,0.733474526,1108503,1108087,C,Contig19-10183,C,85202,84786,0.980325893,0.075085787
orf19.3572,,Ca21chr2,39118.78389,26498.33725,0.677381417,0.157206368,0.001946524,0.007131071,1108751,1110046,W,Contig19-10183,W,85450,86745,1.012035052,0.051117562
orf19.3572.3,,Ca21chr2,0.399067426,32.7928053,1,101.0198348,0.186780546,0.194903626,1110528,1111348,W,Contig19-10183,W,87227,88047,0.964326903,0.034571562
orf19.3573,,Ca21chr2,1949.427679,1777.300704,0.911789337,0.411849205,0.579802381,0.205589936,1112926,1116399,W,Contig19-10183,W,89625,93098,1.023886328,0.077220563
orf19.3574,,Ca21chr2,98.60786562,206.6039821,2.095207931,1.347353253,0.020986973,0.020213789,1117170,1116739,C,Contig19-10183,C,93869,93438,0.983292339,0.087671243
orf19.3575,CDC19,Ca21chr2,28726.59008,31631.57164,1.101125179,0.46181644,0.638166945,0.696339668,1118746,1120260,W,Contig19-10183,W,95445,96959,1.025024739,0.13384183
orf19.3577,COQ5,Ca21chr2,893.0126893,1032.275439,1.155947112,0.449305784,0.601132615,0.620975899,1120618,1121538,W,Contig19-10183,W,97317,98237,1.021078181,0.120017189
orf19.3577.1,,Ca21chr2,1144.391512,1289.765296,1.127031511,0.598573338,0.757261579,0.785766652,1121940,1121686,C,Contig19-10183,C,98639,98385,1.005589623,0.077151466
orf19.3578,,Ca21chr2,642.7757596,821.3617246,1.277835563,0.084332463,0.654748543,0.02089991,1122114,1122560,W,Contig19-10183,W,98813,99259,0.98276383,0.05754624
orf19.3579,ATP4,Ca21chr2,8035.425277,8878.912972,1.104971133,0.238105051,0.693382139,0.174968765,1122782,1123483,W,Contig19-10183,W,99481,100182,1.0061477,0.131320032
orf19.3581,,Ca21chr2,596.8273824,545.9556074,0.914763001,0.430574346,0.747323405,0.252297236,1124918,1123611,C,Contig19-10183,C,101617,100310,1.025555384,0.086000114
orf19.3582,,Ca21chr2,1038.666813,1031.264204,0.992872971,0.471492548,0.87451881,0.726851241,1125339,1126138,W,Contig19-10183,W,102115,102837,1.016020721,0.051637161
orf19.3583,,Ca21chr2,937.291226,1060.969169,1.131952524,0.768252037,0.592504897,0.58173224,1127371,1126214,C,Contig19-10183,C,103614,102913,1.038581214,0.060172504
orf19.6866,,Ca21chr2,256.5693214,251.4068609,0.979878886,0.256332484,0.930686026,0.479500441,1128792,1127673,C,Contig19-10257,C,1534,415,1.040889704,0.055230075
orf19.6867,,Ca21chr2,618.0455817,925.1789829,1.496942961,0.553429757,0.099026336,0.023722011,1129080,1129469,W,Contig19-10257,W,1822,2211,1.014172479,0.097072629
orf19.6868,,Ca21chr2,713.3906524,1325.744843,1.85837148,0.325601702,0.423904312,0.000729663,1129825,1130841,W,Contig19-10257,W,2567,3583,1.000941142,0.052004181
orf19.6869,,Ca21chr2,622.2477889,713.5976239,1.146806203,0.172188941,0.598951217,0.025764485,1132002,1130953,C,Contig19-10257,C,4744,3695,1.028113827,0.078397751
orf19.6871,,Ca21chr2,1008.86188,806.6614019,0.799575659,0.366083697,0.821658624,0.476939692,1135090,1139148,W,Contig19-10257,W,7832,11890,1.054580805,0.08099475
orf19.6872,,Ca21chr2,103.369815,111.8920088,1.082311024,0.222190315,0.96898348,0.611114541,1140248,1139328,C,Contig19-10257,C,12990,12070,0.952593978,0.051831929
orf19.6873,RPS8A,Ca21chr2,1188.94571,1267.983499,1.066477206,0.378653065,0.727085535,0.490921053,1142393,1141773,C,Contig19-10257,C,15135,14515,1.006134745,0.060896848
orf19.6873.1,,Ca21chr2,29805.1915,32788.58223,1.100096345,0.460581965,0.614116721,0.547938282,1143299,1143511,W,Contig19-10257,W,16041,16253,1.047334453,0.069126655
